folder,file1,file2,tfidf_similarity,ast_similarity,combined_similarity,length_ratio,complexity_ratio,es_plagio,dataset,tokenize_success,ast_success
c57a973e_fa484fdd,c57a973e.java,fa484fdd.java,0.382,0.7127,0.4316,0.9347,0.75,1,conplag,True,True
44428e63_c850e422,44428e63.java,c850e422.java,0.4771,0.8162,0.528,0.6466,1.0,0,conplag,True,True
2ff0355e_83935617,2ff0355e.java,83935617.java,0.4478,0.5591,0.4645,0.6274,0.5625,0,conplag,True,True
0017d438_9852706b,0017d438.java,9852706b.java,0.4633,0.9104,0.5303,0.8854,1.0,1,conplag,True,True
bdfe8110_c57a973e,bdfe8110.java,c57a973e.java,0.3879,0.8741,0.4608,0.9205,0.75,1,conplag,True,True
c06_orig_L5v02,original.java,compared.java,0.4917,0.8575,0.6014,0.8672,1.0,1,ir_plag,True,True
c05_orig_L5v04,original.java,compared.java,0.4549,0.9625,0.6072,0.9439,1.0,1,ir_plag,True,True
5647d16e_ea09d197,5647d16e.java,ea09d197.java,0.5902,0.7573,0.6153,0.8375,0.8421,0,conplag,True,True
c07_orig_L1v06,original.java,compared.java,1.0,0.9274,0.9782,0.9647,1.0,1,ir_plag,True,True
5af25bd7_77ec956f,5af25bd7.java,77ec956f.java,0.6153,0.9612,0.6672,0.9788,1.0,1,conplag,True,True
5756162d_808f7516,5756162d.java,808f7516.java,0.4469,0.7194,0.4878,1.0,0.8333,0,conplag,True,True
c04_orig_np06,original.java,compared.java,0.3142,0.8833,0.4849,0.8684,1.0,0,ir_plag,True,True
c02_orig_L4v03,original.java,compared.java,0.5405,0.6217,0.5648,0.8403,1.0,1,ir_plag,True,True
6bcc5afd_f6ca6fc8,6bcc5afd.java,f6ca6fc8.java,0.923,0.985,0.9323,0.9815,1.0,1,conplag,True,True
c1fef98f_fadc1365,c1fef98f.java,fadc1365.java,0.3291,0.509,0.3561,0.6023,0.5,0,conplag,True,True
0ea5a836_732c98a0,0ea5a836.java,732c98a0.java,0.4496,0.6427,0.4786,0.6803,0.9167,0,conplag,True,True
c06_orig_np11,original.java,compared.java,0.9312,1.0,0.9518,0.991,1.0,0,ir_plag,True,True
0e68e463_29cf2e70,0e68e463.java,29cf2e70.java,0.4272,0.7898,0.4816,0.7494,1.0,0,conplag,True,True
28c2d81a_48c5f745,28c2d81a.java,48c5f745.java,0.3077,0.7913,0.3802,0.7954,0.75,1,conplag,True,True
1013b392_5a340556,1013b392.java,5a340556.java,0.5662,1.0,0.6313,0.9978,1.0,1,conplag,True,True
3d06b643_f6ca6fc8,3d06b643.java,f6ca6fc8.java,0.4467,0.7858,0.4976,0.7333,0.8333,1,conplag,True,True
c01_orig_L1v06,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
90d0ffd0_b21c7532,90d0ffd0.java,b21c7532.java,0.3624,0.6105,0.3997,0.5821,0.625,0,conplag,True,True
086f0f90_4a570de6,086f0f90.java,4a570de6.java,0.5321,0.8883,0.5856,0.8237,1.0,0,conplag,True,True
c48673a6_ebed1250,c48673a6.java,ebed1250.java,0.3395,0.5552,0.3718,0.7028,0.5,0,conplag,True,True
c06_orig_np02,original.java,compared.java,0.9312,1.0,0.9518,0.991,1.0,0,ir_plag,True,True
c06_orig_L4v08,original.java,compared.java,0.7249,0.8875,0.7737,0.874,1.0,1,ir_plag,True,True
a3e272af_d1cd194e,a3e272af.java,d1cd194e.java,0.4572,0.6754,0.4899,0.9526,0.8571,0,conplag,True,True
1469697d_69c86b61,1469697d.java,69c86b61.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
c07_orig_np11,original.java,compared.java,0.6893,0.8608,0.7408,0.8962,0.75,0,ir_plag,True,True
56a90e79_b505f95e,56a90e79.java,b505f95e.java,0.5427,0.4715,0.5321,0.6648,0.7,0,conplag,True,True
c03_orig_L6v03,original.java,compared.java,0.455,0.7158,0.5333,0.8698,1.0,1,ir_plag,True,True
6f037b1d_ef1117e3,6f037b1d.java,ef1117e3.java,0.649,0.8074,0.6727,0.9687,0.7368,0,conplag,True,True
c06_orig_L1v02,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
16857116_f3d7ce08,16857116.java,f3d7ce08.java,0.9717,0.9083,0.9622,0.9233,0.8333,1,conplag,True,True
0951d079_b2bae06a,0951d079.java,b2bae06a.java,0.451,0.7866,0.5013,0.9202,0.8889,0,conplag,True,True
c07_orig_L6v02,original.java,compared.java,0.4636,0.7257,0.5422,0.7961,1.0,1,ir_plag,True,True
c01_orig_np09,original.java,compared.java,0.4624,0.6725,0.5255,0.6774,0.5,0,ir_plag,True,True
c03_orig_L6v01,original.java,compared.java,0.4316,0.8059,0.5439,0.745,1.0,1,ir_plag,True,True
12c1cc56_c06c758d,12c1cc56.java,c06c758d.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
ae716b8f_f1a42a42,ae716b8f.java,f1a42a42.java,0.4096,0.7368,0.4587,0.9526,0.7222,0,conplag,True,True
c03_orig_np10,original.java,compared.java,0.9233,1.0,0.9463,0.959,1.0,0,ir_plag,True,True
1be078c4_bb0949b3,1be078c4.java,bb0949b3.java,0.3215,0.8919,0.4071,0.9186,0.875,0,conplag,True,True
4e9c4bf9_f9e08a46,4e9c4bf9.java,f9e08a46.java,0.5901,0.7367,0.6121,0.9104,0.8571,0,conplag,True,True
c07_orig_L1v08,original.java,compared.java,1.0,0.9274,0.9782,0.9647,1.0,1,ir_plag,True,True
cc9230d3_ec558d69,cc9230d3.java,ec558d69.java,0.4513,0.8966,0.5181,0.9505,0.8571,1,conplag,True,True
c02_orig_L6v01,original.java,compared.java,0.5129,0.6524,0.5548,0.5917,0.5,1,ir_plag,True,True
c02_orig_L5v02,original.java,compared.java,0.5033,0.7729,0.5842,0.6536,1.0,1,ir_plag,True,True
99ccaa44_e7a997b5,99ccaa44.java,e7a997b5.java,0.5204,0.7139,0.5494,0.8051,0.9231,0,conplag,True,True
29d865c3_5cfa2861,29d865c3.java,5cfa2861.java,0.2461,0.46,0.2781,0.5481,0.3333,0,conplag,True,True
3b5cec19_8f31b279,3b5cec19.java,8f31b279.java,0.5025,1.0,0.5771,0.8841,1.0,1,conplag,True,True
3d06b643_6bcc5afd,3d06b643.java,6bcc5afd.java,0.4456,0.7958,0.4982,0.7471,0.8333,1,conplag,True,True
c05_orig_L4v09,original.java,compared.java,0.5394,0.8567,0.6346,0.8972,1.0,1,ir_plag,True,True
c03_orig_L6v06,original.java,compared.java,0.5684,0.7825,0.6327,0.7571,1.0,1,ir_plag,True,True
2fdcf0ad_d20e861b,2fdcf0ad.java,d20e861b.java,0.452,0.628,0.4784,0.7719,0.7273,0,conplag,True,True
8e990c75_96b3758b,8e990c75.java,96b3758b.java,0.4232,0.6914,0.4634,0.9898,0.7273,0,conplag,True,True
c07_orig_L5v07,original.java,compared.java,0.7862,0.8042,0.7916,0.939,1.0,1,ir_plag,True,True
1097b326_a60fba84,1097b326.java,a60fba84.java,0.5674,0.7437,0.5938,0.7316,0.8333,0,conplag,True,True
392218ef_f0ede32a,392218ef.java,f0ede32a.java,0.3555,0.7502,0.4147,0.7051,0.75,0,conplag,True,True
c04_orig_L5v01,original.java,compared.java,0.6331,0.8875,0.7094,0.7416,1.0,1,ir_plag,True,True
c04_orig_L3v01,original.java,compared.java,0.5984,0.95,0.7039,0.9429,1.0,1,ir_plag,True,True
c04_orig_L6v08,original.java,compared.java,0.6081,0.7967,0.6647,0.6226,1.0,1,ir_plag,True,True
31f29772_ac180326,31f29772.java,ac180326.java,0.3294,0.7288,0.3893,0.5621,0.6923,0,conplag,True,True
c03_orig_L3v06,original.java,compared.java,0.6629,0.885,0.7295,0.9122,1.0,1,ir_plag,True,True
c03_orig_L3v05,original.java,compared.java,0.6425,0.945,0.7333,0.9303,1.0,1,ir_plag,True,True
9862c742_cf27732e,9862c742.java,cf27732e.java,0.3797,0.8126,0.4447,0.74,0.8462,0,conplag,True,True
c03_orig_np07,original.java,compared.java,0.97,0.935,0.9595,0.9212,1.0,0,ir_plag,True,True
47d54299_63bfa731,47d54299.java,63bfa731.java,0.5162,0.8491,0.5661,0.9923,1.0,1,conplag,True,True
930dd1f1_f4b87cc2,930dd1f1.java,f4b87cc2.java,0.4339,0.6627,0.4682,0.7157,0.75,0,conplag,True,True
99bc7da3_b3638571,99bc7da3.java,b3638571.java,0.262,0.6242,0.3163,0.8791,0.8333,0,conplag,True,True
04ed33a5_6b83b22e,04ed33a5.java,6b83b22e.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
03b3c5af_d74028ea,03b3c5af.java,d74028ea.java,0.4897,0.7104,0.5228,0.9757,0.75,0,conplag,True,True
7de69858_b76bce8a,7de69858.java,b76bce8a.java,0.6011,0.7781,0.6276,0.8425,0.8889,0,conplag,True,True
e2fe9d7d_ece1820d,e2fe9d7d.java,ece1820d.java,0.4126,0.6345,0.4459,0.9225,0.6667,0,conplag,True,True
67996c4c_7bc92b7f,67996c4c.java,7bc92b7f.java,0.5031,0.6803,0.5297,0.9929,0.9,0,conplag,True,True
1dab88fb_bac616ee,1dab88fb.java,bac616ee.java,0.4601,0.8891,0.5244,0.7896,0.9167,0,conplag,True,True
c07_orig_L4v06,original.java,compared.java,0.4886,0.8125,0.5857,0.988,1.0,1,ir_plag,True,True
4138b081_f59d9b6e,4138b081.java,f59d9b6e.java,0.4452,0.8937,0.5125,0.9752,1.0,0,conplag,True,True
c03_orig_L2v02,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
6e7cd58b_cfba313d,6e7cd58b.java,cfba313d.java,0.6987,0.7324,0.7038,0.7411,0.9286,1,conplag,True,True
c05_orig_L2v01,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
7f42483d_c9a316ca,7f42483d.java,c9a316ca.java,0.4499,0.6244,0.4761,0.934,0.7,0,conplag,True,True
0c9d4def_d3415fc5,0c9d4def.java,d3415fc5.java,0.3132,0.6016,0.3565,0.5993,0.4,0,conplag,True,True
c05_orig_L3v04,original.java,compared.java,0.5923,1.0,0.7146,1.0,1.0,1,ir_plag,True,True
34cd5b66_d6af96bd,34cd5b66.java,d6af96bd.java,0.294,0.6016,0.3402,0.7634,0.7436,0,conplag,True,True
49e94e7e_d7a8434f,49e94e7e.java,d7a8434f.java,0.3188,0.825,0.3947,0.8645,0.75,0,conplag,True,True
0c9d4def_ef1d196b,0c9d4def.java,ef1d196b.java,0.3491,0.5217,0.375,0.5929,0.5,0,conplag,True,True
29cb9b0e_c77654b8,29cb9b0e.java,c77654b8.java,0.4491,0.7858,0.4996,0.9093,1.0,0,conplag,True,True
c01_orig_L6v03,original.java,compared.java,0.3961,0.5825,0.452,0.8871,0.5,1,ir_plag,True,True
0048a372_0adb1ee5,0048a372.java,0adb1ee5.java,0.312,0.8174,0.3878,0.828,0.8,0,conplag,True,True
ac7187d8_b7a6c59c,ac7187d8.java,b7a6c59c.java,0.4511,0.8377,0.5091,0.8942,1.0,0,conplag,True,True
6f393cfe_7a9c69d8,6f393cfe.java,7a9c69d8.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
24afd00e_424c930b,24afd00e.java,424c930b.java,0.4353,0.7277,0.4792,0.9846,0.6364,0,conplag,True,True
1097b326_f1f600d9,1097b326.java,f1f600d9.java,0.3437,0.8473,0.4193,0.7015,1.0,0,conplag,True,True
c02_orig_L1v05,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
2e404969_597195ee,2e404969.java,597195ee.java,0.4048,0.6625,0.4434,0.9897,0.875,0,conplag,True,True
26e699de_76ad805a,26e699de.java,76ad805a.java,0.5224,0.8042,0.5647,0.945,0.8182,0,conplag,True,True
c07_orig_np12,original.java,compared.java,0.6046,0.8708,0.6845,0.9318,0.75,0,ir_plag,True,True
22dff786_624529e3,22dff786.java,624529e3.java,0.473,0.8502,0.5296,0.8731,0.8571,0,conplag,True,True
c01_orig_np08,original.java,compared.java,0.4624,0.6725,0.5255,0.6774,0.5,0,ir_plag,True,True
0df4050e_f5fde094,0df4050e.java,f5fde094.java,0.4107,0.694,0.4532,0.6193,0.6429,0,conplag,True,True
c05_orig_L6v04,original.java,compared.java,0.4719,0.7542,0.5565,0.972,1.0,1,ir_plag,True,True
3c74c140_732c98a0,3c74c140.java,732c98a0.java,0.4746,0.7995,0.5234,0.7959,0.7857,1,conplag,True,True
c03_orig_L2v06,original.java,compared.java,1.0,0.935,0.9805,0.959,1.0,1,ir_plag,True,True
80e6c4db_f22a4243,80e6c4db.java,f22a4243.java,0.3816,0.6857,0.4272,0.8031,0.8889,0,conplag,True,True
c57997b6_ff10b574,c57997b6.java,ff10b574.java,0.4233,0.7654,0.4746,0.8938,1.0,0,conplag,True,True
c01_orig_L1v03,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
9c55bc1b_c9da41af,9c55bc1b.java,c9da41af.java,0.4822,0.8088,0.5312,0.933,0.8571,0,conplag,True,True
c07_orig_L6v04,original.java,compared.java,0.4496,0.675,0.5172,0.8283,1.0,1,ir_plag,True,True
53551ea0_6be98ece,53551ea0.java,6be98ece.java,0.3806,0.9149,0.4608,0.9666,1.0,0,conplag,True,True
0ea5a836_3c74c140,0ea5a836.java,3c74c140.java,0.4178,0.5508,0.4378,0.5415,0.8571,0,conplag,True,True
cdb801a1_dcdaf666,cdb801a1.java,dcdaf666.java,0.4736,0.7744,0.5187,0.9245,0.625,0,conplag,True,True
4ea10951_66e74577,4ea10951.java,66e74577.java,0.3883,0.7752,0.4464,0.7636,0.9333,0,conplag,True,True
00af3420_86102d81,00af3420.java,86102d81.java,0.4931,0.8786,0.5509,0.9335,1.0,0,conplag,True,True
4499e3b9_cbbbed5f,4499e3b9.java,cbbbed5f.java,0.3844,0.8186,0.4496,0.9555,0.875,0,conplag,True,True
6f393cfe_d3a0b8d2,6f393cfe.java,d3a0b8d2.java,0.5161,0.7891,0.5571,0.8403,0.8,0,conplag,True,True
4fb09c5f_c57a973e,4fb09c5f.java,c57a973e.java,0.2399,0.5598,0.2879,0.565,0.6154,0,conplag,True,True
0b04b41e_4da08761,0b04b41e.java,4da08761.java,0.4205,0.7762,0.4738,0.7179,0.8,0,conplag,True,True
3cbcb1cc_6045e5d1,3cbcb1cc.java,6045e5d1.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
36f1b52a_558df7d4,36f1b52a.java,558df7d4.java,0.5035,0.8321,0.5528,0.9604,0.9,1,conplag,True,True
a8f7c8b7_f229aa7f,a8f7c8b7.java,f229aa7f.java,0.3229,0.6601,0.3735,0.9441,0.75,0,conplag,True,True
3c667d4f_a7894e0b,3c667d4f.java,a7894e0b.java,0.2988,0.9111,0.3906,0.9968,0.875,1,conplag,True,True
c06_orig_np07,original.java,compared.java,0.8812,0.97,0.9078,0.9652,1.0,0,ir_plag,True,True
4f7af821_8f6421f3,4f7af821.java,8f6421f3.java,0.2764,0.8974,0.3695,0.9587,0.75,1,conplag,True,True
41e69083_54eb1a6b,41e69083.java,54eb1a6b.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
a368f345_e5d02e93,a368f345.java,e5d02e93.java,0.3861,0.652,0.426,0.7174,0.6429,0,conplag,True,True
ee270b2a_fc80cbe0,ee270b2a.java,fc80cbe0.java,0.2566,0.5433,0.2996,0.6282,0.6429,0,conplag,True,True
c04_orig_np10,original.java,compared.java,0.8434,0.9083,0.8629,0.8636,1.0,0,ir_plag,True,True
04ed33a5_0c173033,04ed33a5.java,0c173033.java,0.4576,0.904,0.5246,0.8031,1.0,1,conplag,True,True
05f939b3_e647bef7,05f939b3.java,e647bef7.java,0.5248,0.6125,0.538,0.7832,0.5833,0,conplag,True,True
0ecf356d_b2bae06a,0ecf356d.java,b2bae06a.java,0.4901,0.8009,0.5367,0.9804,0.8889,0,conplag,True,True
f229aa7f_fcc7e8fa,f229aa7f.java,fcc7e8fa.java,0.4235,0.7553,0.4733,0.7397,1.0,0,conplag,True,True
8aadde13_fb20d298,8aadde13.java,fb20d298.java,0.2847,0.8545,0.3702,0.7444,0.875,1,conplag,True,True
e431de28_eb6cfca7,e431de28.java,eb6cfca7.java,0.2859,0.9566,0.3865,0.7066,1.0,0,conplag,True,True
12c1cc56_7b71234c,12c1cc56.java,7b71234c.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
c02_orig_L4v04,original.java,compared.java,0.4946,0.8479,0.6006,0.7576,1.0,1,ir_plag,True,True
c04_orig_L6v04,original.java,compared.java,0.4758,0.63,0.5221,0.7952,1.0,1,ir_plag,True,True
01b911ac_a195911e,01b911ac.java,a195911e.java,0.3632,0.6676,0.4088,0.9199,0.7143,0,conplag,True,True
175201f9_9399204d,175201f9.java,9399204d.java,0.4582,0.6929,0.4934,0.8886,0.8889,0,conplag,True,True
c06_orig_L3v04,original.java,compared.java,0.5794,0.8625,0.6643,0.9407,1.0,1,ir_plag,True,True
43b85d63_a37923d1,43b85d63.java,a37923d1.java,0.306,0.7455,0.3719,0.5267,0.9,0,conplag,True,True
ba8800f5_d8e4eb5e,ba8800f5.java,d8e4eb5e.java,0.469,0.6678,0.4988,0.8695,0.7,0,conplag,True,True
c03_orig_L3v08,original.java,compared.java,0.6153,0.885,0.6962,0.9122,1.0,1,ir_plag,True,True
4f7af821_f870e76b,4f7af821.java,f870e76b.java,0.2213,0.894,0.3222,0.7127,1.0,0,conplag,True,True
597195ee_5f3a196a,597195ee.java,5f3a196a.java,0.4547,0.8966,0.521,0.8362,1.0,1,conplag,True,True
1d43139f_fdd41565,1d43139f.java,fdd41565.java,0.5168,0.8256,0.5631,0.974,0.9,0,conplag,True,True
d6fb3b9e_f7a0ea6d,d6fb3b9e.java,f7a0ea6d.java,0.5711,0.728,0.5947,0.9701,0.875,0,conplag,True,True
d1cd194e_dbffab11,d1cd194e.java,dbffab11.java,0.4373,0.7281,0.4809,0.9745,0.8571,0,conplag,True,True
c02_orig_L4v06,original.java,compared.java,0.5721,0.7661,0.6303,0.7042,1.0,1,ir_plag,True,True
1ea771ea_2f8c3bf3,1ea771ea.java,2f8c3bf3.java,0.3339,0.8086,0.4051,0.8706,0.875,0,conplag,True,True
7814575b_8cfe3ee0,7814575b.java,8cfe3ee0.java,0.4025,0.59,0.4306,0.8879,0.5714,0,conplag,True,True
1071f735_cd835290,1071f735.java,cd835290.java,0.2129,0.8223,0.3043,0.6536,0.8333,1,conplag,True,True
38b356b7_c77654b8,38b356b7.java,c77654b8.java,0.4472,0.68,0.4822,0.7234,0.8889,0,conplag,True,True
67996c4c_9028caf7,67996c4c.java,9028caf7.java,0.3795,0.666,0.4225,0.9214,0.9,0,conplag,True,True
00af3420_f4d6d28d,00af3420.java,f4d6d28d.java,0.4777,0.6665,0.5061,0.6597,0.8182,0,conplag,True,True
a3e272af_f7fc2e94,a3e272af.java,f7fc2e94.java,0.4119,0.5853,0.4379,0.8778,0.8571,0,conplag,True,True
7686c854_abd16ff0,7686c854.java,abd16ff0.java,0.4401,0.978,0.5207,0.7527,1.0,1,conplag,True,True
2a35cd81_464ad4dd,2a35cd81.java,464ad4dd.java,0.4585,0.6921,0.4935,0.9825,0.7857,0,conplag,True,True
3ff60986_d0b4b96c,3ff60986.java,d0b4b96c.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
c07_orig_L4v05,original.java,compared.java,0.4461,0.8692,0.573,0.8497,0.8,1,ir_plag,True,True
d23b398c_e14d1ba0,d23b398c.java,e14d1ba0.java,0.355,0.9236,0.4403,0.8452,1.0,1,conplag,True,True
6db218a2_90b71536,6db218a2.java,90b71536.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
487c9f62_54488276,487c9f62.java,54488276.java,0.5565,0.6522,0.5708,0.783,0.8889,0,conplag,True,True
5bf01190_79b9b897,5bf01190.java,79b9b897.java,0.3785,0.6004,0.4118,0.8898,0.8571,0,conplag,True,True
54e71b9b_fd16f5b0,54e71b9b.java,fd16f5b0.java,0.3889,0.7818,0.4478,0.6275,0.9,0,conplag,True,True
d8a171a3_f229aa7f,d8a171a3.java,f229aa7f.java,0.4509,0.7137,0.4903,0.9258,0.75,0,conplag,True,True
722e318f_ff1fc018,722e318f.java,ff1fc018.java,0.2677,0.8448,0.3542,0.8458,0.8,0,conplag,True,True
c06_orig_np09,original.java,compared.java,0.9018,1.0,0.9313,1.0,1.0,0,ir_plag,True,True
c05_orig_L6v01,original.java,compared.java,0.5422,0.7309,0.5988,0.9813,0.6667,1,ir_plag,True,True
c07_orig_L2v03,original.java,compared.java,0.9348,0.9417,0.9369,0.9762,1.0,1,ir_plag,True,True
810cf242_968c1e7e,810cf242.java,968c1e7e.java,0.2631,0.5344,0.3038,0.3292,0.4,0,conplag,True,True
161b4a40_49e94e7e,161b4a40.java,49e94e7e.java,0.3498,0.6706,0.398,0.8284,0.8182,0,conplag,True,True
141effef_6653a758,141effef.java,6653a758.java,0.4235,0.5207,0.4381,0.9083,0.7143,0,conplag,True,True
c01_orig_L5v04,original.java,compared.java,0.5223,0.8917,0.6331,0.8378,1.0,1,ir_plag,True,True
b185d034_ccc8ef27,b185d034.java,ccc8ef27.java,0.6257,0.679,0.6337,0.9384,0.7,0,conplag,True,True
c02_orig_L5v06,original.java,compared.java,0.5721,0.7661,0.6303,0.7042,1.0,1,ir_plag,True,True
3412b353_528a6162,3412b353.java,528a6162.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
c02_orig_L4v08,original.java,compared.java,0.5588,0.8033,0.6321,0.7299,1.0,1,ir_plag,True,True
c02_orig_np05,original.java,compared.java,0.5525,0.9585,0.6743,0.7092,1.0,0,ir_plag,True,True
3afcc566_d8a171a3,3afcc566.java,d8a171a3.java,0.3852,0.6989,0.4322,0.8052,0.9167,0,conplag,True,True
c04_orig_L4v04,original.java,compared.java,0.4934,0.7275,0.5637,0.8354,1.0,1,ir_plag,True,True
2eb89317_d4a3869e,2eb89317.java,d4a3869e.java,0.386,0.7641,0.4427,0.6853,0.75,0,conplag,True,True
127af3a7_99ccaa44,127af3a7.java,99ccaa44.java,0.4033,0.6869,0.4458,0.7069,0.9167,0,conplag,True,True
bd3051e3_e2e37533,bd3051e3.java,e2e37533.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
1dab88fb_99ccaa44,1dab88fb.java,99ccaa44.java,0.4762,0.6792,0.5067,0.7085,0.9167,0,conplag,True,True
c06_orig_L4v01,original.java,compared.java,0.5595,0.8875,0.6579,0.8473,1.0,1,ir_plag,True,True
403e3270_58d18fca,403e3270.java,58d18fca.java,0.4653,0.9229,0.534,0.9118,1.0,1,conplag,True,True
2eb89317_fcc7e8fa,2eb89317.java,fcc7e8fa.java,0.3228,0.5102,0.3509,0.5427,0.45,0,conplag,True,True
49b94994_f0d91796,49b94994.java,f0d91796.java,0.2886,0.7383,0.3561,0.7288,1.0,0,conplag,True,True
