folder,file1,file2,tfidf_similarity,ast_similarity,combined_similarity,length_ratio,complexity_ratio,es_plagio,dataset,tokenize_success,ast_success
c06_orig_np04,original.java,compared.java,0.804,1.0,0.8628,0.9569,1.0,0,ir_plag,True,True
c01_orig_np12,original.java,compared.java,0.4624,0.6725,0.5255,0.6774,0.5,0,ir_plag,True,True
1a6f8b20_f6ed6826,1a6f8b20.java,f6ed6826.java,0.5332,0.8607,0.5823,0.9811,1.0,0,conplag,True,True
c05_orig_L4v07,original.java,compared.java,0.5586,0.865,0.6505,0.8785,1.0,1,ir_plag,True,True
680ba922_6d7d5dd7,680ba922.java,6d7d5dd7.java,0.4016,0.6037,0.4319,0.7194,0.5625,0,conplag,True,True
c01_orig_L2v04,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
6018974f_bdf7bfb2,6018974f.java,bdf7bfb2.java,0.4396,0.923,0.5121,0.9209,0.9,0,conplag,True,True
2063ba3e_2ba7edb6,2063ba3e.java,2ba7edb6.java,0.464,0.9273,0.5335,0.8723,0.9,0,conplag,True,True
c01_orig_L4v03,original.java,compared.java,0.5294,0.8917,0.6381,0.8378,1.0,1,ir_plag,True,True
c02_orig_L2v08,original.java,compared.java,0.7355,1.0,0.8148,1.0,1.0,1,ir_plag,True,True
54eb12ca_949502c2,54eb12ca.java,949502c2.java,0.5025,0.6232,0.5206,0.6581,0.5714,0,conplag,True,True
c07_orig_L3v02,original.java,compared.java,0.5363,1.0,0.6754,1.0,1.0,1,ir_plag,True,True
c06_orig_L5v09,original.java,compared.java,0.9312,0.9625,0.9406,0.973,1.0,1,ir_plag,True,True
93ee4612_da5cf40b,93ee4612.java,da5cf40b.java,0.37,0.7035,0.42,0.7851,0.9167,0,conplag,True,True
c03_orig_L5v09,original.java,compared.java,0.5494,0.7923,0.6223,0.8657,1.0,1,ir_plag,True,True
b2bae06a_d4779c71,b2bae06a.java,d4779c71.java,0.4336,0.7758,0.4849,0.8806,0.6154,0,conplag,True,True
3d88acb8_b6023b26,3d88acb8.java,b6023b26.java,0.2966,0.7785,0.3689,0.7596,0.8,0,conplag,True,True
a7e7f371_f8e7b886,a7e7f371.java,f8e7b886.java,0.472,0.6019,0.4915,0.6069,0.7273,0,conplag,True,True
4a1573d6_db8d728d,4a1573d6.java,db8d728d.java,0.1777,0.4397,0.217,0.2162,0.2842,0,conplag,True,True
c05_orig_np05,original.java,compared.java,0.6927,0.96,0.7729,0.9907,1.0,0,ir_plag,True,True
c01_orig_L4v06,original.java,compared.java,0.2151,0.7417,0.3731,0.7561,1.0,1,ir_plag,True,True
034030f3_9e4ddc38,034030f3.java,9e4ddc38.java,0.3649,0.6182,0.4028,0.8861,0.9,0,conplag,True,True
d6bbd286_fabb36ff,d6bbd286.java,fabb36ff.java,0.5096,0.7134,0.5402,0.956,0.7857,0,conplag,True,True
c01_orig_L6v08,original.java,compared.java,0.4546,0.5825,0.4929,0.9194,0.5,1,ir_plag,True,True
c06_orig_L5v07,original.java,compared.java,0.7296,0.8325,0.7605,0.8538,1.0,1,ir_plag,True,True
c07_orig_np05,original.java,compared.java,0.6656,0.7295,0.6848,0.7489,0.6667,0,ir_plag,True,True
c01_orig_np14,original.java,compared.java,0.2803,0.8225,0.4429,0.7581,0.5,0,ir_plag,True,True
00f79486_ce0b2178,00f79486.java,ce0b2178.java,0.373,0.8149,0.4393,0.9409,1.0,0,conplag,True,True
8a729537_abd16ff0,8a729537.java,abd16ff0.java,0.5133,0.9556,0.5796,0.8108,1.0,1,conplag,True,True
976fe834_da54dec3,976fe834.java,da54dec3.java,0.4733,0.6364,0.4978,0.8886,0.7188,0,conplag,True,True
63bfa731_949502c2,63bfa731.java,949502c2.java,0.5098,0.8455,0.5602,0.842,0.875,1,conplag,True,True
c04_orig_L2v04,original.java,compared.java,0.5138,0.8125,0.6034,0.8462,1.0,1,ir_plag,True,True
49e94e7e_fcc7e8fa,49e94e7e.java,fcc7e8fa.java,0.4522,0.7483,0.4966,0.9923,1.0,0,conplag,True,True
c01_orig_L1v07,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
3ff25f43_c287ea9d,3ff25f43.java,c287ea9d.java,0.5571,0.8368,0.5991,0.8462,1.0,0,conplag,True,True
0889dcfb_22138fad,0889dcfb.java,22138fad.java,0.4422,0.7859,0.4938,0.7557,0.8182,0,conplag,True,True
9261620f_f0881ab5,9261620f.java,f0881ab5.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
2eb89317_5f0a176e,2eb89317.java,5f0a176e.java,0.4102,0.7641,0.4633,0.7329,0.85,0,conplag,True,True
18e2441c_792863db,18e2441c.java,792863db.java,0.4176,0.5184,0.4327,0.6646,0.5385,0,conplag,True,True
08cf0478_9291ca83,08cf0478.java,9291ca83.java,0.4747,0.909,0.5399,0.9077,1.0,1,conplag,True,True
c05_orig_np13,original.java,compared.java,0.4719,0.9042,0.6016,0.972,1.0,0,ir_plag,True,True
c04_orig_L3v05,original.java,compared.java,0.6167,1.0,0.7317,0.9167,1.0,1,ir_plag,True,True
c02_orig_np04,original.java,compared.java,0.5751,0.9429,0.6854,0.7407,1.0,0,ir_plag,True,True
5f3a2a70_e7a997b5,5f3a2a70.java,e7a997b5.java,0.464,0.6499,0.4919,0.9049,0.7692,0,conplag,True,True
c06_orig_L6v02,original.java,compared.java,0.4917,0.8575,0.6014,0.8672,1.0,1,ir_plag,True,True
a4ec80a0_d314aa92,a4ec80a0.java,d314aa92.java,0.4962,0.6999,0.5268,0.7089,0.6364,0,conplag,True,True
d12f26f0_df594a00,d12f26f0.java,df594a00.java,0.3702,0.7555,0.428,0.8655,0.8889,0,conplag,True,True
31f29772_b728ba1d,31f29772.java,b728ba1d.java,0.4501,0.8822,0.5149,0.9736,0.8889,0,conplag,True,True
680ba922_ee4b9467,680ba922.java,ee4b9467.java,0.4547,0.6871,0.4896,0.6711,0.9,0,conplag,True,True
c04_orig_L3v09,original.java,compared.java,0.5914,1.0,0.714,1.0,1.0,1,ir_plag,True,True
584b0e9e_c9159d9c,584b0e9e.java,c9159d9c.java,0.2611,0.7926,0.3409,0.8369,0.8333,0,conplag,True,True
0c9d4def_1a6f8b20,0c9d4def.java,1a6f8b20.java,0.5198,0.8329,0.5668,0.8443,0.8,0,conplag,True,True
c01_orig_np10,original.java,compared.java,0.4624,0.6725,0.5255,0.6774,0.5,0,ir_plag,True,True
c02_orig_np10,original.java,compared.java,0.5165,0.97,0.6525,0.9804,1.0,0,ir_plag,True,True
69b2fd22_764484c3,69b2fd22.java,764484c3.java,0.4921,0.7691,0.5336,0.9017,0.9,0,conplag,True,True
0f09b843_45e41c6d,0f09b843.java,45e41c6d.java,0.4758,0.7834,0.5219,0.8556,0.8889,0,conplag,True,True
cc669e02_d88fa51c,cc669e02.java,d88fa51c.java,0.4343,0.6117,0.4609,0.883,0.6667,0,conplag,True,True
548ffb07_9ab3c0e1,548ffb07.java,9ab3c0e1.java,0.6183,0.9194,0.6635,0.8945,1.0,1,conplag,True,True
c04_orig_L4v03,original.java,compared.java,0.5009,0.6625,0.5494,0.8049,1.0,1,ir_plag,True,True
1410e423_da5cf40b,1410e423.java,da5cf40b.java,0.3422,0.75,0.4034,0.9133,0.8182,0,conplag,True,True
c03_orig_L6v04,original.java,compared.java,0.4437,0.7566,0.5376,0.7727,1.0,1,ir_plag,True,True
c04_orig_L1v05,original.java,compared.java,0.4663,1.0,0.6264,0.9167,1.0,1,ir_plag,True,True
53d782a0_5769b7b3,53d782a0.java,5769b7b3.java,0.4746,0.9688,0.5487,0.9708,1.0,1,conplag,True,True
b9595381_c4ca2ff3,b9595381.java,c4ca2ff3.java,0.5477,0.7009,0.5707,0.9016,0.7778,0,conplag,True,True
c03_orig_L4v05,original.java,compared.java,0.4845,0.7715,0.5706,0.7924,1.0,1,ir_plag,True,True
51cc7026_e81b2d16,51cc7026.java,e81b2d16.java,0.4754,0.8538,0.5321,0.989,0.8889,1,conplag,True,True
c06_orig_L6v07,original.java,compared.java,0.7198,0.8325,0.7536,0.8538,1.0,1,ir_plag,True,True
1162c08f_6bcc5afd,1162c08f.java,6bcc5afd.java,0.7396,0.9226,0.7671,0.9138,1.0,1,conplag,True,True
c05_orig_L6v07,original.java,compared.java,0.537,0.8567,0.6329,0.9159,1.0,1,ir_plag,True,True
c34bb733_ea899386,c34bb733.java,ea899386.java,0.3531,0.6724,0.401,0.5841,0.5455,0,conplag,True,True
24afd00e_279e274a,24afd00e.java,279e274a.java,0.3904,0.7026,0.4372,0.9522,0.6364,0,conplag,True,True
0588b869_69b2fd22,0588b869.java,69b2fd22.java,0.4729,0.7056,0.5078,0.8515,0.7,0,conplag,True,True
c01_orig_L6v07,original.java,compared.java,0.4132,0.5925,0.467,0.9841,0.5,1,ir_plag,True,True
1162c08f_f6ca6fc8,1162c08f.java,f6ca6fc8.java,0.7203,0.9326,0.7522,0.931,1.0,1,conplag,True,True
c04_orig_L4v06,original.java,compared.java,0.3531,0.8375,0.4984,0.75,1.0,1,ir_plag,True,True
28c2d81a_8f6421f3,28c2d81a.java,8f6421f3.java,0.362,0.9183,0.4455,0.9139,1.0,1,conplag,True,True
04ed33a5_7ea34254,04ed33a5.java,7ea34254.java,0.2953,0.8282,0.3753,0.953,1.0,0,conplag,True,True
2e1109d7_e7000ac2,2e1109d7.java,e7000ac2.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
69b2fd22_d221162a,69b2fd22.java,d221162a.java,0.4612,0.5881,0.4802,0.9541,0.9,0,conplag,True,True
10013f73_a8f7c8b7,10013f73.java,a8f7c8b7.java,0.3985,0.7649,0.4534,0.9079,0.75,0,conplag,True,True
04df7bb8_1ea771ea,04df7bb8.java,1ea771ea.java,0.2046,0.8852,0.3067,0.7366,1.0,1,conplag,True,True
07749c65_2bbf754b,07749c65.java,2bbf754b.java,0.3445,0.7978,0.4125,0.8886,0.8,0,conplag,True,True
c04_orig_np03,original.java,compared.java,0.8541,0.9083,0.8704,0.8636,1.0,0,ir_plag,True,True
c04_orig_L4v09,original.java,compared.java,0.9239,0.8875,0.9129,0.8462,1.0,1,ir_plag,True,True
505f8562_ed37ba7d,505f8562.java,ed37ba7d.java,0.3828,0.6264,0.4194,0.7759,0.8,0,conplag,True,True
a8f7c8b7_c1638a45,a8f7c8b7.java,c1638a45.java,0.4501,0.8725,0.5134,0.9184,0.9167,0,conplag,True,True
2e404969_d76e3b9d,2e404969.java,d76e3b9d.java,0.4216,0.8126,0.4803,0.9819,1.0,0,conplag,True,True
39098126_3bcd2014,39098126.java,3bcd2014.java,0.4284,0.8228,0.4876,0.7699,1.0,0,conplag,True,True
20166f71_a98d56f9,20166f71.java,a98d56f9.java,0.3706,0.7992,0.4349,0.9952,1.0,0,conplag,True,True
9310ad0c_f36138e7,9310ad0c.java,f36138e7.java,0.6849,0.8475,0.7093,0.8628,1.0,0,conplag,True,True
7c11511f_f3d7ce08,7c11511f.java,f3d7ce08.java,0.2906,0.7639,0.3616,0.9733,1.0,0,conplag,True,True
07038b12_a18cb2c1,07038b12.java,a18cb2c1.java,0.3206,0.7499,0.385,0.6242,1.0,0,conplag,True,True
584b0e9e_d9199dfd,584b0e9e.java,d9199dfd.java,0.3552,0.8665,0.4319,0.8136,0.9091,1,conplag,True,True
49e94e7e_da5cf40b,49e94e7e.java,da5cf40b.java,0.3317,0.7321,0.3917,0.9437,0.8182,0,conplag,True,True
3088ca9c_f6ed6826,3088ca9c.java,f6ed6826.java,0.4976,0.7227,0.5314,0.9084,0.8,0,conplag,True,True
11c2ab99_4f7af821,11c2ab99.java,4f7af821.java,0.2683,0.8343,0.3532,0.9722,0.75,1,conplag,True,True
24044589_e435b1ac,24044589.java,e435b1ac.java,0.4606,0.6014,0.4817,0.8377,0.6667,0,conplag,True,True
07a0e4dc_bac616ee,07a0e4dc.java,bac616ee.java,0.4547,0.8042,0.5071,0.8956,0.9231,0,conplag,True,True
35f0c004_8d6f1bf5,35f0c004.java,8d6f1bf5.java,0.5349,0.8107,0.5763,0.8126,0.7143,0,conplag,True,True
c03_orig_L6v08,original.java,compared.java,0.4864,0.794,0.5786,0.85,1.0,1,ir_plag,True,True
c01_orig_L1v05,original.java,compared.java,0.993,1.0,0.9951,0.9839,1.0,1,ir_plag,True,True
49b94994_558df7d4,49b94994.java,558df7d4.java,0.3054,0.7125,0.3665,0.7884,0.9,0,conplag,True,True
c07_orig_L4v09,original.java,compared.java,0.7162,0.8125,0.7451,0.9268,1.0,1,ir_plag,True,True
c01_orig_L3v02,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
c02_orig_L4v09,original.java,compared.java,0.7819,0.7995,0.7872,0.7143,1.0,1,ir_plag,True,True
c01_orig_L5v03,original.java,compared.java,0.3213,0.5825,0.3997,0.8387,0.5,1,ir_plag,True,True
2da4b3fe_3d06b643,2da4b3fe.java,3d06b643.java,0.4822,0.8283,0.5341,0.8322,1.0,1,conplag,True,True
c02_orig_L1v02,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
1230c43e_ce0b2178,1230c43e.java,ce0b2178.java,0.3411,0.7839,0.4075,0.8889,0.6667,0,conplag,True,True
c03_orig_L1v02,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
c02_orig_L3v06,original.java,compared.java,0.5978,0.86,0.6765,0.9524,1.0,1,ir_plag,True,True
175201f9_40cc90ae,175201f9.java,40cc90ae.java,0.3946,0.6715,0.4361,0.6695,0.7273,0,conplag,True,True
4138b081_f729338f,4138b081.java,f729338f.java,0.5697,0.7737,0.6003,0.8689,1.0,0,conplag,True,True
3dd65549_c1638a45,3dd65549.java,c1638a45.java,0.4704,0.7719,0.5157,0.8912,0.7273,0,conplag,True,True
c03_orig_np01,original.java,compared.java,0.9047,0.9405,0.9154,1.0,1.0,0,ir_plag,True,True
7686c854_8a729537,7686c854.java,8a729537.java,0.4397,0.9336,0.5138,0.9283,1.0,1,conplag,True,True
5be7547e_cb032314,5be7547e.java,cb032314.java,0.5086,0.8812,0.5645,0.9354,0.9167,0,conplag,True,True
c02_orig_L6v05,original.java,compared.java,0.5028,0.6017,0.5325,0.7407,1.0,1,ir_plag,True,True
80407703_99e059b8,80407703.java,99e059b8.java,0.3852,0.8055,0.4482,0.9509,0.9167,0,conplag,True,True
15941165_3b10bd6d,15941165.java,3b10bd6d.java,0.4145,0.6579,0.451,0.692,0.75,0,conplag,True,True
51d857bc_c392efe7,51d857bc.java,c392efe7.java,0.5241,0.6058,0.5364,0.9283,0.75,0,conplag,True,True
c03_orig_L1v08,original.java,compared.java,1.0,0.935,0.9805,0.959,1.0,1,ir_plag,True,True
c05_orig_L5v06,original.java,compared.java,0.567,0.9625,0.6856,0.877,1.0,1,ir_plag,True,True
4da08761_a5d5a95f,4da08761.java,a5d5a95f.java,0.3967,0.6085,0.4285,0.6142,0.8,0,conplag,True,True
0df4050e_6f02c6d9,0df4050e.java,6f02c6d9.java,0.3964,0.8612,0.4661,0.9806,0.9,1,conplag,True,True
2b9dfed3_351c9206,2b9dfed3.java,351c9206.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
c03_orig_L6v09,original.java,compared.java,0.5811,0.756,0.6336,0.7924,1.0,1,ir_plag,True,True
bdfe8110_fadc1365,bdfe8110.java,fadc1365.java,0.3702,0.9308,0.4543,0.9815,1.0,1,conplag,True,True
c06_orig_L2v02,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
c03_orig_L4v09,original.java,compared.java,0.5452,0.7808,0.6159,0.8311,1.0,1,ir_plag,True,True
1162c08f_a4d6775d,1162c08f.java,a4d6775d.java,0.4711,0.7412,0.5116,0.6828,0.8333,1,conplag,True,True
c04_orig_np02,original.java,compared.java,0.8224,0.825,0.8232,0.7952,0.6667,0,ir_plag,True,True
c04_orig_L5v05,original.java,compared.java,0.5324,0.8875,0.6389,0.7253,1.0,1,ir_plag,True,True
c02_orig_L5v01,original.java,compared.java,0.5213,0.8024,0.6057,0.6897,1.0,1,ir_plag,True,True
c05_orig_L3v05,original.java,compared.java,0.5266,1.0,0.6686,0.9469,1.0,1,ir_plag,True,True
722e318f_c9159d9c,722e318f.java,c9159d9c.java,0.3082,0.6048,0.3527,0.9826,0.6667,0,conplag,True,True
c04_orig_L6v05,original.java,compared.java,0.5181,0.8125,0.6064,0.8049,1.0,1,ir_plag,True,True
9028caf7_d221162a,9028caf7.java,d221162a.java,0.4612,0.5881,0.4802,0.9541,0.9,0,conplag,True,True
c05_orig_L1v09,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
c03_orig_L3v03,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
c03_orig_np11,original.java,compared.java,0.6015,0.9059,0.6928,0.8698,0.8,0,ir_plag,True,True
53196443_e496d229,53196443.java,e496d229.java,0.4397,0.8175,0.4964,0.9667,1.0,1,conplag,True,True
c01_orig_L6v01,original.java,compared.java,0.2862,0.5825,0.3751,0.871,0.5,1,ir_plag,True,True
44428e63_9debf95c,44428e63.java,9debf95c.java,0.2104,0.5716,0.2646,0.959,0.75,0,conplag,True,True
11d91f31_eea69e7f,11d91f31.java,eea69e7f.java,0.4211,0.8111,0.4796,0.945,0.8571,0,conplag,True,True
c01_orig_L3v04,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
8a5fe3d9_ea899386,8a5fe3d9.java,ea899386.java,0.4408,0.868,0.5049,0.9372,0.8333,1,conplag,True,True
c04_orig_L6v06,original.java,compared.java,0.3499,0.8375,0.4962,0.66,1.0,1,ir_plag,True,True
c07_orig_L2v01,original.java,compared.java,0.9588,0.9274,0.9494,0.9647,1.0,1,ir_plag,True,True
c07_orig_np15,original.java,compared.java,0.8139,0.9274,0.8479,0.9762,1.0,0,ir_plag,True,True
921b6e4a_e7dce35b,921b6e4a.java,e7dce35b.java,0.6033,0.9101,0.6493,0.9935,0.9091,1,conplag,True,True
213340b3_35f0c004,213340b3.java,35f0c004.java,0.5363,0.7557,0.5692,0.983,0.9,0,conplag,True,True
c05_orig_L4v02,original.java,compared.java,0.6997,0.8,0.7298,0.856,1.0,1,ir_plag,True,True
0fd5b95a_6490bbe8,0fd5b95a.java,6490bbe8.java,0.4886,0.7068,0.5213,0.9954,1.0,0,conplag,True,True
3cf63146_bdfe8110,3cf63146.java,bdfe8110.java,0.3613,0.7969,0.4266,0.7642,1.0,0,conplag,True,True
c04_orig_L4v01,original.java,compared.java,0.4934,0.8875,0.6117,0.8148,1.0,1,ir_plag,True,True
c07_orig_L4v02,original.java,compared.java,0.5181,0.7858,0.5984,0.8913,1.0,1,ir_plag,True,True
69b2fd22_d018b49f,69b2fd22.java,d018b49f.java,0.4959,0.5577,0.5052,0.917,0.9,0,conplag,True,True
c04_orig_L1v01,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
c03_orig_L1v03,original.java,compared.java,1.0,0.935,0.9805,0.959,1.0,1,ir_plag,True,True
aa8091b0_ac180326,aa8091b0.java,ac180326.java,0.2856,0.6755,0.3441,0.6452,0.6923,0,conplag,True,True
6f02c6d9_884f5678,6f02c6d9.java,884f5678.java,0.4625,0.8572,0.5217,1.0,0.9,1,conplag,True,True
c05_orig_L6v03,original.java,compared.java,0.4849,0.7275,0.5577,0.972,1.0,1,ir_plag,True,True
5dbd0a07_bdc08e6f,5dbd0a07.java,bdc08e6f.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
d2a4c1fb_dcdaf666,d2a4c1fb.java,dcdaf666.java,0.3911,0.7993,0.4523,0.7553,1.0,0,conplag,True,True
c04_orig_L1v03,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
c02_orig_np02,original.java,compared.java,0.7442,0.93,0.7999,0.96,1.0,0,ir_plag,True,True
8d6f1bf5_e90a198b,8d6f1bf5.java,e90a198b.java,0.3681,0.6654,0.4127,0.8259,1.0,0,conplag,True,True
c01_orig_L6v09,original.java,compared.java,0.3007,0.5825,0.3852,1.0,0.5,1,ir_plag,True,True
14b0fb8e_8ddb5587,14b0fb8e.java,8ddb5587.java,0.409,0.7576,0.4613,0.9214,0.625,0,conplag,True,True
c01_orig_np04,original.java,compared.java,0.4624,0.6725,0.5255,0.6774,0.5,0,ir_plag,True,True
26ad111c_b0a01ee7,26ad111c.java,b0a01ee7.java,0.5364,0.7449,0.5676,0.8167,0.75,0,conplag,True,True
9069684f_bf85ab7b,9069684f.java,bf85ab7b.java,0.3717,0.754,0.429,0.8107,0.8,0,conplag,True,True
7bc92b7f_9028caf7,7bc92b7f.java,9028caf7.java,0.498,0.8183,0.546,0.9148,1.0,0,conplag,True,True
c03_orig_np15,original.java,compared.java,0.6418,0.85,0.7042,0.9689,1.0,0,ir_plag,True,True
701c3f35_d56bcb0c,701c3f35.java,d56bcb0c.java,0.2913,0.6903,0.3512,0.8128,0.5333,0,conplag,True,True
4212c4b9_829d2024,4212c4b9.java,829d2024.java,0.3651,0.9345,0.4506,0.7647,1.0,1,conplag,True,True
016510dc_f1540246,016510dc.java,f1540246.java,0.4478,0.714,0.4878,0.9705,0.8293,0,conplag,True,True
0b04b41e_9291ca83,0b04b41e.java,9291ca83.java,0.6231,0.8189,0.6524,0.869,1.0,1,conplag,True,True
a4e39423_ba8800f5,a4e39423.java,ba8800f5.java,0.4729,0.5982,0.4917,0.7468,0.7,0,conplag,True,True
c02_orig_np11,original.java,compared.java,0.491,0.9057,0.6154,0.7143,1.0,0,ir_plag,True,True
9debf95c_ac596a43,9debf95c.java,ac596a43.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
aa8091b0_eec856c0,aa8091b0.java,eec856c0.java,0.5375,0.9833,0.6044,0.9735,1.0,1,conplag,True,True
2470b521_f6ca6fc8,2470b521.java,f6ca6fc8.java,0.3024,0.6695,0.3575,0.7234,0.7143,0,conplag,True,True
c07_orig_L2v08,original.java,compared.java,0.9058,0.9274,0.9123,0.9647,1.0,1,ir_plag,True,True
04a706b1_5b7127bf,04a706b1.java,5b7127bf.java,0.4914,0.8403,0.5438,0.7525,0.9375,0,conplag,True,True
0b91922c_71a4f6d2,0b91922c.java,71a4f6d2.java,0.3245,0.5736,0.3619,0.6357,0.5556,0,conplag,True,True
065e0cbd_9b449b4f,065e0cbd.java,9b449b4f.java,0.4457,0.835,0.5041,0.8316,1.0,0,conplag,True,True
ca8f11a4_e19376ca,ca8f11a4.java,e19376ca.java,0.4187,0.6067,0.4469,0.6823,0.5882,0,conplag,True,True
c01_orig_np13,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,0,ir_plag,True,True
3afcc566_90dc2b20,3afcc566.java,90dc2b20.java,0.5527,0.6926,0.5737,0.8,0.8182,0,conplag,True,True
778c91af_9399204d,778c91af.java,9399204d.java,0.479,0.843,0.5336,0.9332,1.0,0,conplag,True,True
